image_conf,sound_conf,text_conf
0.7298859357833862,0.8879930019790817,0.0
0.6470797061920166,8.856209344023862e-05,0.5154302716255188
0.6380317807197571,0.0011105332172687019,0.7485557198524475
0.8112236261367798,0.044746011286274354,0.6830562353134155
0.7092052102088928,0.9550536376045102,0.5811452865600586
0.6466209292411804,0.9288478271064169,0.8737854957580566
0.5857408046722412,0.7666560032314238,0.614713191986084
0.8877138495445251,0.0718495158765203,0.6486961841583252
0.9247539043426514,6.354653804464996e-05,0.6931377649307251
0.8326200842857361,0.000442153210416097,0.6927684545516968
0.8432668447494507,6.4587708489237005e-06,0.8146751523017883
0.8422989249229431,0.01884927355873378,0.0
0.5876148343086243,0.05546134479402695,0.7742244601249695
0.6634834408760071,0.0005205733350266966,0.7702793478965759
0.6155752539634705,0.9704211866672362,0.7851924300193787
0.7019520401954651,0.028408148941516238,0.7219576239585876
0.67914217710495,0.0015068869496690535,0.7606035470962524
0.7071873545646667,0.9132801780471186,0.6639981269836426
0.6590480804443359,0.007367510973201548,0.7649263143539429
0.7947887182235718,3.562178764198825e-05,0.7962015867233276
0.6812784075737,0.9392837050392355,0.7744433879852295
0.5796887278556824,5.7125140845001494e-05,0.8146751523017883
0.7868801951408386,0.9727814415402707,0.5359209775924683
0.8854672908782959,0.000241482814524613,0.5324510335922241
0.8188014626502991,0.036075993979146216,0.5801732540130615
0.9185574054718018,0.005407119604481157,0.5973230004310608
0.9050254821777344,4.911555944567777e-05,0.6931377649307251
0.6975495219230652,0.0011452660965192566,0.6553398370742798
0.6897146701812744,0.6012527206218239,0.8858935832977295
0.7486464381217957,0.19099964171173509,0.5511999130249023
0.9297917485237122,0.0005389120325254805,0.0
0.8471946716308594,9.599770170470408e-05,0.6931377649307251
0.7323386073112488,4.7275260467354225e-05,0.8146751523017883
0.6992626786231995,0.9968327377777579,0.5097118616104126
0.6705012917518616,0.001789783420990176,0.6729007363319397
0.8079110383987427,0.00010293471245113852,0.5876012444496155
0.5136793255805969,9.568556200597746e-05,0.8119229674339294
0.6643747091293335,0.8919717509652951,0.8587464690208435
0.7536430358886719,0.9493734652273433,0.5574027299880981
0.8048551082611084,0.998439588083069,0.7513827681541443
0.5640565156936646,0.0004911757350722545,0.8521625399589539
0.5205835103988647,0.00039931394471023104,0.8197923302650452
0.7475448846817017,0.8483000223064542,0.5364147424697876
0.6927976012229919,0.025096897041434606,0.6864354014396667
0.5420824885368347,0.00021182819098607204,0.7323548197746277
0.5386447906494141,0.00031482752216798886,0.7806150317192078
0.8964483737945557,0.23567325786926197,0.6512168645858765
0.9294928312301636,6.50855445757526e-05,0.7954531311988831
0.9444090127944946,0.3107267885832834,0.5850995779037476
0.888975203037262,0.8029477661787552,0.0
0.9229906797409058,0.007318433454141811,0.0
0.9343775510787964,0.2869771591234549,0.6434013843536377
0.8541114926338196,0.06540522334091362,0.9009705781936646
0.8513374924659729,0.00031179568084122006,0.8851132988929749
0.6336337924003601,0.9552308053396672,0.7858699560165405
0.9493280053138733,0.9797713273139277,0.6760910749435425
0.6439769864082336,0.5015931623004612,0.0
0.8291686773300171,0.030098114369750753,0.0
0.6519687175750732,0.5086637542450717,0.0
0.6307046413421631,0.07285259999447041,0.0
0.9495438933372498,0.9997972196722329,0.0
0.5004208087921143,0.38563284976711343,0.6047764420509338
0.593614935874939,0.9749190405384233,0.7338897585868835
0.8332198262214661,0.08666976051127097,0.0
0.739605188369751,0.007566520410838331,0.8233190178871155
0.6886596083641052,0.9994766897526833,0.7410723567008972
0.5257354974746704,0.9998103543670943,0.8109796643257141
0.874032199382782,0.5978116641800308,0.5012950301170349
0.8822521567344666,0.9999838593886208,0.7640172243118286
0.5525562763214111,0.9947703357551472,0.7038231492042542
0.6294599771499634,0.9014970669646668,0.6075111627578735
0.510591447353363,0.9996075101718953,0.5503172874450684
0.8191803097724915,0.9999604226590222,0.5012699961662292
0.8423417210578918,0.514407896171667,0.5232549905776978
0.9016249775886536,0.007848652261415965,0.6547384858131409
0.9145604372024536,0.9994351848231207,0.8003988862037659
0.6140966415405273,0.9997134641111574,0.507513165473938
0.7892161011695862,0.9218689598701918,0.0
0.8114615082740784,0.9999538052240706,0.6298115253448486
0.9077710509300232,0.9835138421778005,0.9287756681442261
0.6452685594558716,0.7642818898200309,0.9198415279388428
0.6857268810272217,0.9999800714183146,0.6349459290504456
0.5659421682357788,0.9999456679673875,0.8690085411071777
0.877780556678772,0.9998288912552159,0.5092161893844604
0.5694286823272705,0.9999359255256097,0.9512733221054077
0.9559816718101501,0.05794817202466104,0.8067592978477478
0.9554534554481506,0.9866829800160344,0.0
0.5972158312797546,4.583234090556827e-05,0.0
0.9418134689331055,0.9999557093521412,0.62131267786026
0.8180190920829773,0.7959705494302984,0.7699357867240906
0.9382908344268799,0.2633591017551293,0.0
0.9576495885848999,0.20489934591829345,0.0
0.9472618699073792,0.9894323144034741,0.7393776774406433
0.9584980607032776,0.9998601888692834,0.0
